Easting,Northing,Elevation,Distance (m),origin,longitude,latitude
407771.961433994,1420174.88045188,28.7823898654841,16.0013446807861,Maptiler terrain provider,12.845251702953501,80.15006417350043
407772.959119255,1420174.81678901,28.7618490631027,17.001428604126,Maptiler terrain provider,12.845251157077305,80.15007336898213
407773.956804532,1420174.75312615,28.7413082608452,18.0015125274658,Maptiler terrain provider,12.845250611200866,80.15008256446396
407774.954489803,1420174.68946329,28.7207674591767,19.0015964508057,Maptiler terrain provider,12.845250065324105,80.15009175994572
407775.952175078,1420174.62580043,28.7002266579045,20.0016803741455,Maptiler terrain provider,12.845249519447025,80.15010095542749
407776.949860348,1420174.56213757,28.6796858572028,21.0017642974854,Maptiler terrain provider,12.845248973569612,80.15011015090921
407777.947545626,1420174.49847471,28.6591450567904,22.0018482208252,Maptiler terrain provider,12.84524842769188,80.15011934639097
407778.945230905,1420174.43481185,28.6386042568016,23.0019340515137,Maptiler terrain provider,12.84524788181382,80.15012854187273
407779.942916182,1420174.37114899,28.6180634573375,24.0020179748535,Maptiler terrain provider,12.845247335935442,80.15013773735444
407780.940601467,1420174.30748613,28.5975226581705,25.0021018981934,Maptiler terrain provider,12.84524679005673,80.15014693283621
407781.938286747,1420174.24382326,28.576981859574,26.0021858215332,Maptiler terrain provider,12.845246244177611,80.15015612831792
407782.935972029,1420174.1801604,28.5564410613824,27.002269744873,Maptiler terrain provider,12.845245698298255,80.15016532379963
407783.933657319,1420174.11649754,28.5359002634989,28.0023536682129,Maptiler terrain provider,12.845245152418576,80.15017451928139
407784.9313426,1420174.05283468,28.5153594662762,29.0024375915527,Maptiler terrain provider,12.84524460653857,80.15018371476305
407785.929027882,1420173.98917182,28.4948186694877,30.0025215148926,Maptiler terrain provider,12.845244060658242,80.1501929102447
407786.926713179,1420173.92550896,28.4742778728495,31.0026054382324,Maptiler terrain provider,12.84524351477759,80.15020210572646
407787.924398471,1420173.8618461,28.4537370767632,32.0026893615723,Maptiler terrain provider,12.84524296889661,80.15021130120819
407788.922083759,1420173.79818324,28.4331962812681,33.0027732849121,Maptiler terrain provider,12.845242423015305,80.15022049668983
407789.91976905,1420173.73452038,28.412655486132,34.002857208252,Maptiler terrain provider,12.845241877133681,80.1502296921715
407790.917454349,1420173.67085752,28.3921146913204,35.0029411315918,Maptiler terrain provider,12.845241331251732,80.1502388876532
407791.915139643,1420173.60719466,28.3715738970608,36.0030250549316,Maptiler terrain provider,12.845240785369453,80.15024808313484
407792.91282494,1420173.5435318,28.3510331031973,37.0031089782715,Maptiler terrain provider,12.84524023948685,80.15025727861651
407793.910510243,1420173.47986894,28.3304923096899,38.0031929016113,Maptiler terrain provider,12.845239693603931,80.1502664740982
407794.908195538,1420173.41620608,28.309951516804,39.0032768249512,Maptiler terrain provider,12.84523914772068,80.1502756695798
407795.905880841,1420173.35254322,28.2894107242132,40.003360748291,Maptiler terrain provider,12.845238601837105,80.15028486506145
407796.903566152,1420173.28888036,28.2688699319139,41.0034446716309,Maptiler terrain provider,12.845238055953207,80.15029406054316
407797.901251453,1420173.2252175,28.2483291403006,42.0035285949707,Maptiler terrain provider,12.845237510068984,80.15030325602476
407798.898936761,1420173.16155464,28.2277883490139,43.0036125183106,Maptiler terrain provider,12.845236964184437,80.15031245150641
407799.896622067,1420173.09789178,28.2072475582224,44.0036964416504,Maptiler terrain provider,12.845236418299566,80.15032164698802
407800.894307379,1420173.03422892,28.1867067677684,45.0037803649902,Maptiler terrain provider,12.845235872414369,80.15033084246966
407801.891992688,1420172.97056606,28.1661659778368,46.0038681030273,Maptiler terrain provider,12.845235326528849,80.15034003795125
407802.889677998,1420172.9069032,28.1456251883288,47.0039520263672,Maptiler terrain provider,12.845234780643008,80.15034923343285
407803.887363318,1420172.84324034,28.125084399118,48.004035949707,Maptiler terrain provider,12.845234234756836,80.1503584289145
407804.885048626,1420172.77957748,28.1045436105709,49.0041198730469,Maptiler terrain provider,12.845233688870339,80.15036762439604
407805.882733943,1420172.71591462,28.0840028223376,50.0042037963867,Maptiler terrain provider,12.845233142983524,80.15037681987764
407806.880419262,1420172.65225176,28.0634620345093,51.0042877197266,Maptiler terrain provider,12.845232597096379,80.15038601535923
407807.878104583,1420172.5885889,28.0429212471251,52.0043716430664,Maptiler terrain provider,12.84523205120891,80.15039521084083
407808.875789906,1420172.52492604,28.0223804601479,53.0044555664063,Maptiler terrain provider,12.84523150532112,80.15040440632242
